	id	label
810	768	RUA RB 27 A
811	127	RUA 1
812	713	RUA 13 C/ RUA 15 E AV. H, QD. C8, LOTES 5–9/31-34, JARDIM GOIÁS, GOIÂNIA - GO
813	1343	R B 9
814	1409	VERNIZ,DO
815	63	RUA BEIJUACU
816	1146	RUA C 24
817	1469	RUA CLAUDIOLO
818	23	RUA 32
819	822	R JAV 6
820	545	RUA 61
821	320	AV TRIESTE
822	62	RUA RUY BRASIL CAVALCANTE
823	335	RUA F 57
824	1049	RUA ILINOIS
825	1440	RUA T-13 COM T-37
826	1271	AV. MARECHAL RONDON
827	402	RUA C 227
828	1125	RUA GB 9
829	403	AVENIDA FEIRA DE SANTANA
830	641	RUA CEDROS,DOS
831	154	RUA C 116
832	1190	R RB 1
833	584	RUA ROOSEVELT
834	903	RUA 102
835	1412	RUA BARBARA MARQUES CHAVEIRO
836	846	AVENIDA SAO JOAO
837	1193	RUA GB 42
838	533	RUA R 2
839	659	AVENIDA JAIME CAMARA
840	427	RUA 36 QD G-6
841	910	RUA FL 44
842	49	R MDV 6
843	228	NO INFORMADO
844	260	RUA 24
