?	price	sector	street	type	room	suite	park	m2
975	498.000	29	315	2	4	1	2	150
977	275.000.000	47	105	0	3	1	1	90
978	1.200.000	5	316	0	4	4	3	210
979	325.000	47	105	0	3	2	1	94
981	219.000	16	317	1	3	1	2	110
983	200.000	94	318	0	2	1	1	60
985	690.000	0	267	0	3	3	2	125
987	235.000	13	101	0	2	1	1	60
988	840.000	1	319	0	4	4	3	169
989	200.000	64	320	0	2	1	1	58
991	400.000	33	321	0	3	1	2	99
993	180.000	108	322	1	2	1	6	100
999	1.300.000	73	323	2	4	4	2	303
1001	978.000	23	324	0	3	3	2	180
1002	235.000	40	139	0	3	1	1	68
1003	650.000	0	22	0	3	3	2	118
1005	250.000	25	325	0	2	1	1	57
1008	2.600.000	109	326	1	4	4	3	540
1009	1.450.000	0	173	0	4	4	3	228
1010	175.000	110	327	1	2	1	4	77
1011	3.900.000	102	328	2	4	4	6	580
1012	399.000	4	329	0	3	1	1	80
1015	2.400.000	102	328	2	4	4	6	474
1016	535.500	1	330	0	3	3	2	115
1023	185.000	40	331	0	2	1	1	56
1024	350.000	29	332	2	3	3	2	132
1026	615.000	1	87	0	3	3	2	105
1027	400.000	2	333	1	3	1	4	165
1028	215.000	103	334	0	2	1	1	60
1030	329.000	16	335	1	3	1	2	117
1031	583.000	23	336	0	3	3	2	111
1033	200.000	4	337	0	2	1	1	70
1035	580.000	1	165	0	3	3	2	116
1036	650.000	20	31	0	3	1	1	210
1042	800.000	1	36	0	3	3	2	153
1043	740.000	43	338	2	3	3	4	200
1044	239.000	6	94	0	3	1	1	75
1046	619.000	1	98	0	3	3	2	119
1047	1.150.000	73	191	2	4	4	4	300
1048	263.860	48	109	0	3	3	1	77
1049	750.000	0	339	0	4	3	2	147
1050	390.000	6	340	1	3	1	4	136
1052	280.000	40	341	0	3	1	2	79
1053	760.100	1	87	0	3	3	3	153
1054	2.500.000	23	342	0	4	4	5	329
1056	500.000	2	33	0	3	3	2	123
1057	450.000	111	343	1	3	3	4	247
1059	500.000	1	50	0	3	3	2	100
1062	590.000	1	36	0	4	4	2	128
1064	192.303	13	344	0	2	1	1	77
1066	963.770	5	184	0	4	4	3	158
1069	650.000	23	345	0	4	2	2	204
1071	145.000	32	346	1	2	1	2	70
1072	1.550.000	102	347	2	4	4	4	430
1074	230.000	14	348	0	3	1	1	70
1075	750.000	1	254	0	4	2	3	233
1080	190.000	112	349	0	2	1	1	53
